"Set1_Freq[Hz]";"Set1_Level[dBuV]";"Set2_Freq[Hz]";"Set2_Level[dBuV]";"Raw1_Freq[Hz]";"Raw1_Level[dBuV]";"Raw2_Freq[Hz]";"Raw2_Level[dBuV]";"Set1_Peaks_Nb";"Set1_Peaks_Det";"Set1_Peaks_Freq[kHz]";"Set1_Peaks_Level[dBuV]";"Set1_Peaks_Lim[dBuV]";"Set1_Remeasure_Nb";"Set1_Remeasure_Det";"Set1_Remeasure_Freq[kHz]";"Set1_Remeasure_Level[dBuV]";"Set1_Remeasure_Lim[dBuV]";"Set2_Peaks_Nb";"Set2_Peaks_Det";"Set2_Peaks_Freq[kHz]";"Set2_Peaks_Level[dBuV]";"Set2_Peaks_Lim[dBuV]";"Set2_Remeasure_Nb";"Set2_Remeasure_Det";"Set2_Remeasure_Freq[kHz]";"Set2_Remeasure_Level[dBuV]";"Set2_Remeasure_Lim[dBuV]"
"150000";"42,80";"150000";"29,35";"150000";"32,88";"150000";"19,43";"";"";"";"";"";"";"";"";"";"";"1";"VAV";"497,80";"44,56";"46,03";"";"";"";"";""
"153133";"42,67";"153133";"29,63";"153133";"32,76";"153133";"19,73";"";"";"";"";"";"";"";"";"";"";"2";"VAV";"598,07";"44,39";"46,00";"";"";"";"";""
"156267";"42,06";"156267";"29,48";"156267";"32,17";"156267";"19,59";"";"";"";"";"";"";"";"";"";"";"3";"VAV";"698,33";"44,58";"46,00";"";"";"";"";""
"159400";"41,58";"159400";"29,96";"159400";"31,70";"159400";"20,08";"";"";"";"";"";"";"";"";"";"";"4";"VAV";"798,60";"44,34";"46,00";"";"";"";"";""
"162533";"41,14";"162533";"28,42";"162533";"31,28";"162533";"18,56";"";"";"";"";"";"";"";"";"";"";"5";"VAV";"895,73";"44,03";"46,00";"";"";"";"";""
"165667";"40,36";"165667";"28,91";"165667";"30,51";"165667";"19,06";"";"";"";"";"";"";"";"";"";"";"6";"VAV";"996,00";"41,61";"46,00";"";"";"";"";""
"168800";"39,83";"168800";"28,65";"168800";"29,99";"168800";"18,81";"";"";"";"";"";"";"";"";"";"";"7";"VAV";"1096,27";"42,97";"46,00";"";"";"";"";""
"171933";"39,11";"171933";"28,59";"171933";"29,28";"171933";"18,76";"";"";"";"";"";"";"";"";"";"";"8";"VAV";"5580,00";"44,83";"50,00";"8";"QP";"5580,00";"45,24";"60,00"
"175067";"38,91";"175067";"29,39";"175067";"29,09";"175067";"19,57";"";"";"";"";"";"";"";"";"";"";"9";"VAV";"5780,00";"48,01";"50,00";"9";"QP";"5780,00";"48,25";"60,00"
"178200";"38,69";"178200";"26,89";"178200";"28,89";"178200";"17,08";"";"";"";"";"";"";"";"";"";"";"10";"VAV";"5880,00";"47,34";"50,00";"10";"QP";"5880,00";"47,95";"60,00"
"181333";"38,29";"181333";"27,86";"181333";"28,50";"181333";"18,06";"";"";"";"";"";"";"";"";"";"";"11";"VAV";"5980,00";"48,64";"50,00";"11";"QP";"5975,50";"49,52";"60,00"
